tracker_uuid,exchange_uuid,start_time,original_utterance,asr_truth,duration,responses
CN-46d06203-b053-41c2-9854-d70cc3348b27,79516ce3-3235-4cc6-91b1-edb81040fb5f,2021-06-06 00:44:57.660270+00:00,singer meat no mayo no mustard no ketchup,single meat no mayo no mustard no ketchup,4.5,"[('utter_edited_dish_item', 'OK, I just updated your Lottaburrger with without mayo, without mustard and without ketchup.'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-1d613979-95c7-4759-96eb-f351fe9cf6aa,a684f801-2e07-4b9b-9cc5-2ead19ddfb37,2021-06-09 19:14:21.835475+00:00,its a combo,,1.3,"[('utter_combo_dishes', 'The Itsaburrger Meal has Itsaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your itsaburrger, regular or double meat?')]"
CN-580b7eb4-e203-46f7-88d2-c4390912c117,97b84671-6fa0-4dd8-86f1-b45d8713237b,2021-06-07 01:23:49.005201+00:00,yes please,yes green chili and cheese ,2.5,"[('utter_added_dish_item', 'Added chopped green chile, cheese and bacon to your Lottaburrger.'), ('utter_disambiguate_without_options', 'What Side would you like?')]"
CN-cc28e1a9-a71c-47b3-b492-44fa52b0bd9a,9eb1a807-c596-46fd-84bc-119fdf020be8,2021-06-04 00:41:08.355024+00:00,large,,0.6,"[('utter_variation_add', 'OK, I added Large Pepsi.'), ('utter_variation_add', 'Sure, I added Lottaburrger Meal with Regular Lottaburrger with Cheese, Large Fries and Large Pepsi.'), ('utter_anything_else', 'What else would you like to add today?')]"
CN-864b6114-1c8e-4cd6-b44a-137751869e9f,27303d8f-e3fa-4986-a8f2-4bedd39ed4cd,2021-06-20 16:02:15.590701+00:00,large,,0.8,"""""""""""""""[('utter_variation_add', 'OK, I just added Large Dr. Pepper.'), ('utter_variation_add', """"""""I've added Lottaburrger Meal with Regular Lottaburrger without Onion, Large Season Fries and Large Dr. Pepper!""""""""), ('utter_anything_else_with_recommendation', 'What else can I get for you today, pepsi goes well with your order')]"""""""""""""""
CN-56db7427-3b9f-445a-9e46-818390d242ba,055a7f4a-3e40-42dc-a236-b9b2185749ec,2021-06-19 16:14:06.589859+00:00,christmas,,1.7,"[('utter_variation_add', 'OK, I added #1 Bacon Burrito with Christmas Sauce.'), ('utter_anything_else_with_recommendation', 'What else can I get for you today, coffee goes well with your order')]"
CN-94df6681-ecef-4c57-bcd0-af57b77839ac,806fde1c-9e34-4900-8907-348dc0842c5d,2021-06-12 16:21:12.563326+00:00,blakes burritos,,1,"[('utter_disambiguate_with_more', 'In Breakfast, which one would you like? #1 Bacon Burrito, #2 Sausage Burrito , #3 Classic Burrito With Beans #4 Classic Burrito or say more to hear more options.')]"
CN-f633210b-f24d-4b7c-87cd-0f8cf005c3a0,93cc70c0-e56d-460c-9220-388fe70d7927,2021-06-09 00:08:45.209671+00:00,regular,,42.683,"""""""""""""""[('utter_variation_add', """"""""I've added Regular Lottaburrger!""""""""), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Lottaburrger?')]"""""""""""""""
CN-d51818e9-c226-44b3-b503-462444f8e1ff,4bc57d70-e19f-4212-9a0a-a0d9e440394a,2021-06-04 18:57:53.504562+00:00,chili cheese and bacon,,1.5,"[('utter_edited_dish_item', 'I just modified your Lottaburrger with chili, cheese and bacon.'), ('utter_disambiguate_without_options', 'What Side do you want?')]"
CN-1ae9f96d-f755-420e-9180-494bcb7cf3bd,e9b511ec-0cd6-43dd-9894-78f4b1e70c7f,2021-06-23 02:42:47.163355+00:00,can i have a chili dog,wait you want a chili bowl chili dog with onion with a small fries can i have a chili dog ,6.6,"[('utter_variation_add', 'OK, I added Chili Dog with Blakes Chili Con Carne.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-9844ea91-3c57-44b3-aa81-d423088ce158,527d3ca5-2396-4dbe-8706-7f3de5076244,2021-06-02 21:14:48.292007+00:00,atsui and cheese,add chili and cheese ,1.7,"[('utter_edited_dish_item', 'I just modified your Lottaburrger with cheese.'), ('utter_variation_add', 'Sure, I added Lottaburrger Meal with Double Meat Lottaburrger with Cheese, Large Season Fries and Large Sweet Tea.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-36b4211b-fd89-4bcc-ae4f-5cf07439b7f5,4248bab3-f1b2-4bad-998d-9e45c36d8f4b,2021-06-10 22:26:30.492357+00:00,chocolate milkshake,,1.3,"[('utter_variation_add', 'OK, I added Shake with Chocolate Syrup.'), ('utter_variation_add', 'Sure, I added Lottaburrger Meal with Double Meat Lottaburrger with Cheese, Chopped Green Chile, Mayo and without Mustard, Large Season Fries and Shake with Chocolate Syrup.'), ('utter_anything_else', 'What else would you like to add today?')]"
CN-36b4211b-fd89-4bcc-ae4f-5cf07439b7f5,4248bab3-f1b2-4bad-998d-9e45c36d8f4b,2021-06-10 22:26:30.492357+00:00,chocolate milkshake,,1.3,"[('utter_variation_add', 'OK, I added Shake with Chocolate Syrup.'), ('utter_variation_add', 'Sure, I added Lottaburrger Meal with Double Meat Lottaburrger with Cheese, Chopped Green Chile, Mayo and without Mustard, Large Season Fries and Shake with Chocolate Syrup.'), ('utter_anything_else', 'What else would you like to add today?')]"
CN-e07c01b0-3d25-4af0-a07c-5fe172203f09,683d57e9-2fa5-4b2d-b17d-20dbc58ef078,2021-06-07 18:32:54.154311+00:00,a large sprite,,1.3,"""""""""""""""[('utter_items_not_available', """"""""We don't have Sprite.""""""""), ('utter_variations', 'We have Chocolate Milk, Diet Dr. Pepper, Diet Pepsi, Dr. Pepper, Iced Tea, Lemonade, Milk, Mountain Dew, Orange Juice, Pepsi, Root Beer, Shake, Sierra Mist or Sweet Tea.'), ('utter_anything_else', 'What else would you like to add today?')]"""""""""""""""
CN-e1b123d5-4062-48f0-948c-54b3666e239d,edeecdbe-0eb9-4169-84ee-2bd1637c9213,2021-06-16 17:48:49.229351+00:00,regular,,1,"[('utter_variation_add', 'OK, I just added Regular Lottaburrger with Chopped Green Chile and Mustard.'), ('utter_ask_recommendation_option', 'Would you like to have cheese or bacon with your Lottaburrger?')]"
CN-1ac3cfe3-d6b8-41c8-9a91-214902a8db58,b7528868-acc9-4307-b92f-d917a998dc25,2021-06-06 18:01:56.719657+00:00,lotaburger combo,,1.6,"[('utter_combo_dishes', 'The Lottaburrger Meal has Drink, Lottaburrger and Side'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-e24fb52e-86ea-4609-baef-5afc884abb12,e5f1cf19-84f7-4274-9bba-85511600c9c3,2021-06-02 16:52:43.941221+00:00,one green chili on the side,,5.5,"[('utter_edited_dish_item', 'Sure I have revised Lottaburrger with green chili in your order.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-2f13dea1-a4e3-4e5c-a09a-e88e711df02a,9ef0bedb-9743-40d2-b304-bcbff0b6e06e,2021-06-07 20:20:06.229837+00:00,lotaburger,,0.8,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-b05ff508-48b3-43d1-b0ec-3595359a667f,4338ba17-a326-4b81-97f0-138c7e24652b,2021-06-08 18:19:44.335911+00:00,medium,,0.9,"""""""""""""""[('utter_variation_add', """"""""I've added Medium Iced Tea!""""""""), ('utter_variation_add', 'OK, I just added Lottaburrger Meal with Regular Lottaburrger, Medium Fries with No Salt and Medium Iced Tea.'), ('utter_anything_else_with_recommendation', 'What else can I get for you today, pepsi goes well with your order')]"""""""""""""""
CN-e6f415df-aac3-463d-9f7a-7f02a09a27d7,4772d76f-0655-4c31-8dc1-c61def7dd6fc,2021-06-05 02:09:01.069487+00:00,regular,,1.5,"""""""""""""""[('utter_variation_add', """"""""I've added Regular Lottaburrger with Chopped Green Chile!""""""""), ('utter_ask_recommendation_option', 'Would you like to have cheese or bacon with your Lottaburrger?')]"""""""""""""""
CN-e5f31a1b-be23-470c-a83a-d570d7932252,54558bfe-8d06-442f-80ef-35fd640ad670,2021-06-04 17:52:30.926278+00:00,chicken fry,seasoned fries ,3.6,"[('utter_disambiguate_with_more', 'For the Sides which would you like? Chili Cheese Fries, Chili Fries, Large Fries Large Season Fries or say more to hear more options.')]"
CN-86f43439-5a6b-416a-8d8d-1f9fe9d18868,047629c0-5ca7-467e-8e4a-f8f67ae345e5,2021-06-03 12:20:22.903160+00:00,green top,red sauce,4.5,"[('utter_variation_add', 'OK, I just added #8 Carne Adovada Burrito with Green Sauce.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-5c3d838d-9528-4e4b-a219-b8c43ea91318,c4351e66-3a08-4de6-b0fa-cf03f08d7d01,2021-06-03 00:27:55.991139+00:00,medium sierra mist,,2.4,"""""""""""""""[('utter_variation_add', 'Sure, I added Medium Sierra Mist.'), ('utter_variation_add', """"""""I've added Itsaburrger Meal with Regular Itsaburrger, Medium Season Fries and Medium Sierra Mist!""""""""), ('utter_anything_else_with_recommendation', 'What else can I get for you today, pepsi goes well with your order')]"""""""""""""""
CN-6b9ff968-bd65-46ff-83b3-3a660419128e,c118c142-f19a-48c4-beea-5450af143d14,2021-06-06 23:57:59.648875+00:00,no i want my double lotaburger with the veggies on the side well done,,6.4,"""""""""""""""[('utter_default', """"""""I'm sorry I missed what you said?"""""""")]"""""""""""""""
CN-09be17ac-fccd-48f6-a374-d91dc799af4b,26dc2483-a94b-4cb0-9edf-335739e5a449,2021-06-20 16:12:46.587436+00:00,green chili,,0.9,"[('utter_variation_add', 'OK, I just added #1 Bacon Burrito with Green Sauce.'), ('utter_anything_else_with_recommendation', 'What else can I add for you today, coffee goes well with your order')]"
CN-286dc708-6518-4a5f-b232-c5268914fd0f,1ea0ff44-ebd5-423e-ac24-6ff9d44cf002,2021-06-22 17:24:39.335601+00:00,i want to order two blake lotaburger combo with cheese,,4.9,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-46d06203-b053-41c2-9854-d70cc3348b27,18d31ace-3517-4d8b-944a-f08beaeeef17,2021-06-06 00:46:25.721994+00:00,large,,1.4,"[('utter_variation_add', 'Sure, I added Large Sweet Tea.'), ('utter_variation_add', 'OK, I added Lottaburrger Meal with Regular Lottaburrger with Chopped Green Chile and without Ketchup, Mayo and Mustard, Large Fries and Large Sweet Tea.'), ('utter_anything_else_with_recommendation', 'What else can I add for you today, pepsi goes well with your order')]"
CN-286dc708-6518-4a5f-b232-c5268914fd0f,63c93f1c-909f-4b79-8dbb-2d70bcd83052,2021-06-22 17:25:22.363964+00:00,french fries,,1.6,"[('utter_disambiguate', 'For the Sides which would you like? Large Fries, Medium Fries or Medium Season Fries')]"
CN-653cabf5-ef93-4222-94fb-c9aff7245624,2bc87b05-5f45-46ea-b4cc-4f232ae2c278,2021-06-14 21:05:07.343223+00:00,i want a lot of humble pie and a large drink,i want a lota combo fries and a double meat with everything and a large drink ,10.7,"[('utter_disambiguate_with_more', 'In Drinks and Sweets, which one would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"
CN-44b77c88-e382-4259-ac64-7ee7e016aac7,e8fca291-9501-4027-a066-4578bc8860a1,2021-06-21 18:08:27.219243+00:00,4 chicken tender,4 chicken tenders,1.6,"[('utter_ask_with_variation', 'For your 1st Chicken Tender what Size, 2 Piece, 3 Piece or 4 Piece')]"
CN-59e865d0-d936-43c5-a15f-d00192b08749,0543f6e9-98e8-4c32-8c03-70b67e0082df,2021-06-11 18:08:18.378951+00:00,lotaburger combo with cheese,,3.2,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-f5780c83-513d-4193-9081-4c2ae70ac252,8f9e9220-241c-4916-b9c3-c8be647f5e32,2021-06-21 01:42:53.490342+00:00,double meat,,2.9,"[('utter_variation_add', 'OK, I just added Double Meat Lottaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Double Meat Lottaburrger?')]"
CN-66520808-49be-4ba5-9ba6-2728031c170e,14c68494-a97d-44ff-80d7-671ac2e1cd32,2021-06-02 20:32:37.242462+00:00,a double itsaburger with cheese,,6.1,"[('utter_dynamic', 'How would you like your itsaburrger, regular or double meat?')]"
CN-e47c3208-877a-40e7-b382-13428f6dcd84,b8a17798-5b1a-4f3c-ab92-ceabbe12be6d,2021-06-23 21:13:01.260109+00:00,pepsi,,0.8,"[('utter_ask_with_variation', 'For your Pepsi what Sizes do you want Large or Medium')]"
CN-d486027f-560e-4da1-a78d-8714bb5ae933,8815e90c-b514-484a-88be-1effb65d0a1c,2021-06-03 23:51:14.819996+00:00,large seasoned fries,seasoned large seasoned fries,2.5,"[('utter_variation_add', 'OK, I added Large Season Fries.'), ('utter_disambiguate_with_more', 'For the Drink which would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"
CN-be982372-a3d5-4a5b-8f55-8e63d12403a1,4da6937d-480c-4972-ab06-0781c7ebf895,2021-06-19 16:35:59.466535+00:00,yes to no tia and one christmas,yes 2 no chili and 1 christmass,4.3,"[('utter_delete_item_notexist', 'No worries! #1 Bacon Burrito has no christmas in it.'), ('utter_anything_else', 'What else would you like to add today?')]"
CN-7e21b60d-e1b7-4470-8154-fd0429d532ff,65a75822-00b3-4168-8668-7b8d81c28d87,2021-06-02 16:49:55.472902+00:00,green,,0.5,"[('utter_variation_add', 'OK, I added #2 Sausage Burrito  with Green Sauce.'), ('utter_ask_limited', 'What Sauce for the 2nd #2 Sausage Burrito ?')]"
CN-28a8f5bf-d52e-44f9-ad83-44469320410b,6b812100-191f-43d4-a110-038721034d62,2021-06-05 01:17:21.760713+00:00,large stuffed pepper,large dr pepper,1.4,"[('utter_variation_add', 'OK, I just added Large Dr. Pepper.'), ('utter_variation_add', 'OK, I just added Chicken Tenders Meal with 4 Piece Chicken Tender and Large Dr. Pepper.'), ('utter_anything_else_with_recommendation', 'What else can I get for you today, deluxe brownie goes well with your order')]"
CN-010c93ff-3597-47de-a209-800a1b39667d,a120b363-87aa-459f-85c7-7f619411cc31,2021-06-23 18:05:03.477774+00:00,large,,0.5,"[('utter_variation_add', 'OK, I just added Large Iced Tea.'), ('utter_ask_with_variation', 'For your Mountain Dew what Sizes, Large or Medium')]"
CN-eac38b8c-feb6-4336-b1fc-a3d2c31c63ee,5a72bf2b-1c55-4d64-a70f-163336a1e96a,2021-06-02 00:53:34.420553+00:00,seasoned fries,,1.8,"[('utter_system_handover', 'One moment, please, while I get you to our team member.')]"
CN-45d15cda-eab7-45f5-a0c8-ca9de2d7c168,d070788b-7f60-42fc-9080-30f26b1d7170,2021-06-23 01:18:08.497539+00:00,lotaburger combo double meat with green chili bacon and cheese only,,6.1,"""""""""""""""[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_variation_add', """"""""I've added Double Meat Lottaburrger with Bacon, Chopped Green Chile and only Cheese!""""""""), ('utter_disambiguate_without_options', 'What Side would you like?')]"""""""""""""""
CN-e79061fd-2ae5-4f9c-9a94-d807d5e9fd3b,48c81248-617e-4afa-b2fd-5a746eb8f9f1,2021-06-05 15:29:27.731269+00:00,side of red sox,,3.8,"[('utter_anything_else', 'What else can I get for you?')]"
CN-33bae34b-a983-4205-88fc-3cbb77890487,c0671207-27ac-406f-8118-f0f3c56c6b4d,2021-06-12 02:29:06.407154+00:00,coke,,3.4,"[('utter_ask_with_variation', 'For your Pepsi what Sizes do you want Large or Medium')]"
CN-8274042f-41a1-45a2-9bc0-479ef5bbe890,b8187901-6d8f-4fc1-ad09-9dbaa2b844a6,2021-06-18 16:23:35.516216+00:00,number one,,1,"[('utter_ask_limited', 'What Sauce for the #1 Bacon Burrito?')]"
CN-5a507f73-c736-4166-89b0-dd6123350fed,94ab1cdd-f2ad-4db3-bc1e-e6a6b703ecc0,2021-06-05 22:23:54.517179+00:00,double meat,,0.8,"[('utter_variation_add', 'Sure, I added Double Meat Lottaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Double Meat Lottaburrger?')]"
CN-4c43978a-a4d7-478d-8449-53c8e44ad7c5,de6d292c-0e1b-4807-b70c-b252c84d1b81,2021-06-04 23:19:20.872697+00:00,regular fries,,1,"[('utter_variation_add', 'Sure, I added Medium Fries.'), ('utter_disambiguate_with_more', 'For the Drink which would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"
CN-7e2095e5-f5b0-41a9-bcee-20a9ed839c26,76f24697-82a0-4aae-9d26-0490bae6433c,2021-06-04 22:47:47.483171+00:00,lotaburger,,1,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-3558b78f-bf38-4b7f-b8ec-4587f2b2bb5e,602489c4-3778-49a4-b904-c8a98db12348,2021-06-14 14:01:31.053597+00:00,breakfast sandwich,,2.4,"[('utter_disambiguate', 'In Breakfast, which one would you like? sandwich with bacon or sandwich with sausage')]"
CN-b592946f-3c0f-4e8c-a77e-a6e5b8f2f3a6,ee28c13d-6f7c-4326-b646-7329f3cf2e8d,2021-06-22 17:46:25.821659+00:00,number three,,0.8,"[('utter_ask_limited', 'What Sauce for the #3 Classic Burrito With Beans?')]"
CN-9f72a38b-5d18-400d-822a-ba8ccbbbe399,5ef89d74-ec89-4b6c-82ca-f3cd8a744f7f,2021-06-18 17:17:27.316725+00:00,its a burger double meat double cheese,,4.1,"""""""""""""""[('utter_variation_add', """"""""I've added Double Meat Itsaburrger with Cheese!""""""""), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile or bacon with your Double Meat Itsaburrger?')]"""""""""""""""
CN-36d64bf7-bd5b-4892-b5c7-caf6bbc9fc21,7190dddf-6f00-492f-a54d-3a77c7a8a7d2,2021-06-11 00:07:07.267602+00:00,chicken tender meal,,1.9,"[('utter_disambiguate_combo', 'In chicken tend meal, which one? Chicken Tender Meal 3 Pieces, Chicken Tenders Meal or Kiddy Chicken Tender Meal')]"
CN-36d64bf7-bd5b-4892-b5c7-caf6bbc9fc21,7190dddf-6f00-492f-a54d-3a77c7a8a7d2,2021-06-11 00:07:07.267602+00:00,chicken tender meal,,1.9,"[('utter_disambiguate_combo', 'In chicken tend meal, which one? Chicken Tender Meal 3 Pieces, Chicken Tenders Meal or Kiddy Chicken Tender Meal')]"
CN-68493e09-41bd-4a79-8b8e-4432eac3f5c6,61dead6e-ec33-4342-a51e-2d1d622125e4,2021-06-06 19:23:48.299151+00:00,sausage burrito,,1,"""""""""""""""[('utter_default', """"""""I'm sorry I missed what you said?""""""""), ('utter_ask_with_variation', 'For your #1 Bacon Burrito what Sauce, Christmas Sauce, Green Sauce, No Chile or Red Sauce')]"""""""""""""""
CN-b16fbde2-357b-46b6-96a6-aa0c0acf6426,c89f6ca3-6e64-4952-84e7-00f920e2b22c,2021-06-21 17:46:02.044774+00:00,lotaburger,,0.9,"[('utter_ask_combo_with_name', 'Do you want to convert it into a Lottaburrger Meal')]"
CN-b16fbde2-357b-46b6-96a6-aa0c0acf6426,bf00ec22-935f-4691-b393-e0f395b360e9,2021-06-21 17:46:53.749545+00:00,regular,,0.7,"""""""""""""""[('utter_variation_add', """"""""I've added Regular Itsaburrger!""""""""), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile or bacon with your Itsaburrger?')]"""""""""""""""
CN-cf425a0c-4689-43ba-92b1-2e295d2601fe,a5298215-1806-400e-8dc7-11fdd580292c,2021-06-06 23:54:35.714320+00:00,lotaburger,,0.9,"[('utter_variation_add', 'OK, I added Regular Lottaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Lottaburrger?')]"
CN-9069a47e-82f0-491a-bcc6-9d0142af93b6,3a36d666-0666-4b90-af21-7fef1bcfc7c2,2021-06-07 19:02:26.007405+00:00,korean chris x extrication song,could you add ex extra christmas sauce,2.7,"[('utter_default', 'Apologies, but could you please repeat that?'), ('utter_summary_price', 'Your total price comes up to $13.70 including tax.'), ('utter_ask_go_ahead', 'Would you like to complete your order?')]"
CN-dae49ee1-08bb-4aed-b7b4-a8ff1d84c252,e4e1e494-cdce-4ffe-b238-c15c9d5243d0,2021-06-12 17:29:14.152203+00:00,one number two,one number two with green chili ,1.6,"[('utter_ask_limited', 'What Sauce for the #2 Sausage Burrito ?')]"
CN-20a82984-bad0-445d-ae65-e7e3b49a4fd5,f30fd580-3582-4415-952b-3bd36e142735,2021-06-12 00:49:00.281609+00:00,lotaburger with cheese and green chilies the lotaburger meal,lotaburger with cheese and green chili the lotaburger meal,9.5,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-fe55fa21-2c75-4c28-9c25-1d0cbdc070f3,c325acff-5624-4a48-9c75-6e27a381ab54,2021-06-13 02:14:19.418882+00:00,stephen fry, seasoned fries ,0.9,"[('utter_disambiguate', 'For the Sides which would you like? Large Season Fries or Medium Season Fries')]"
CN-f324a4d1-af3d-4839-9df5-0711a4d8a6b6,eb300408-4ee5-4de3-b10c-2ccebd774426,2021-06-17 16:04:57.482235+00:00,lota burger combo with cheese,,2,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-e7957c15-04b1-44a6-97fe-97bb136538c2,21a30d9a-d820-4af3-a98a-39d7d618f575,2021-06-20 02:36:03.968865+00:00,large combo with cheese green chili and no tomato stephen fry,lota combo with cheese green chili and no tomato seasoned fries,6.2,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-3cfa7d8b-31e8-4976-8e4d-c76c05c8611a,acf16993-c287-403f-96b4-b1b189855ece,2021-06-04 21:12:53.783347+00:00,large,,0.7,"[('utter_variation_add', 'OK, I added Large Pepsi.'), ('utter_variation_add', 'OK, I added Lottaburrger Meal with Double Meat Lottaburrger Chopped Green Chile and with Cheese, Large Season Fries and Large Pepsi.'), ('utter_anything_else', 'What else can I get for you?')]"
CN-b8f2c4f6-d155-4da9-814c-b97eedce8d53,45085e65-3146-450c-8257-2bdddf2f85c3,2021-06-23 20:36:09.945283+00:00,lotaburger,,1.6,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-24f85909-32fc-4f27-9651-e82308fcc927,29a4cd05-a5fa-42f3-8414-3e97e864107f,2021-06-06 18:32:58.518731+00:00,a lot of burger combo,,3,"[('utter_combo_dishes', 'The Lottaburrger Meal has Drink, Lottaburrger and Side'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-1e866fd1-2524-423e-b6ff-0f3b7f9ff4d7,5339f5e6-1ba2-43ab-bd4e-201fcf535618,2021-06-16 18:28:22.161459+00:00,i know and i like a regular fries and a medium drink,no and i like a regular fries and a medium drink,7.8,"""""""""""""""[('utter_variation_add', """"""""I've added Medium Fries!""""""""), ('utter_ask_combo_with_name', 'Do you want to convert it into a Lottaburrger Meal')]"""""""""""""""
CN-c1d3b700-6b5a-49b0-9ef9-0fc1c55108a4,6b892c3f-4e0c-48bd-b4af-a780459d4a04,2021-06-05 16:59:59.926389+00:00,breakfast burrito bacon,,2.1,"[('utter_ask_limited', 'What Sauce for the #1 Bacon Burrito?')]"
CN-478684e6-0616-4bf5-9b8f-b2c5f6d69f2b,4aca2805-2060-4f26-9147-4b8523faf46c,2021-06-08 02:32:15.425918+00:00,1 lotaburger,minus 1 lotaburger,2.5,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-2198bcb9-f9ee-425e-b2a4-7fc78f2195d8,a79ecfa9-59aa-451f-b3c5-426deec612e2,2021-06-03 19:47:10.066422+00:00,cheese,,0.7,"[('utter_edited_dish_item', 'OK, I updated your Lottaburrger with cheese.'), ('utter_disambiguate_without_options', 'What Side would you like?')]"
CN-74640530-6207-43e0-929e-abf7a05cd91a,250be388-b7a6-45a6-a4ff-6d423eebaa6f,2021-06-17 13:22:18.255809+00:00,number what number one was green breakfast burrito, number one number one was green breakfast burrito,5.5,"[('utter_variations', 'We have #1 Bacon Burrito.'), ('utter_anything_else', 'What else can I get for you?')]"
